  37.98000 -77.00000   5.00000   3.38421
  37.98000 -77.30000   5.00000   3.37633
  37.98000 -77.60000   5.00000   3.37464
  37.98000 -77.90000   5.00000   3.38080
  37.98000 -78.20000   5.00000   3.38383
  37.98000 -78.50000   5.00000   3.38483
  37.98000 -78.80000   5.00000   3.38500
  37.98000 -79.10000   5.00000   3.38500
  37.98000 -79.40000   5.00000   3.38500
  37.98000 -79.70000   5.00000   3.38500
  37.98000 -80.00000   5.00000   3.38500
  37.98000 -80.30000   5.00000   3.38500
  37.98000 -80.60000   5.00000   3.38500
  37.98000 -80.90000   5.00000   3.38500
  37.98000 -81.20000   5.00000   3.38500
  37.98000 -81.50000   5.00000   3.38500
  37.98000 -81.80000   5.00000   3.38500
  37.98000 -82.10000   5.00000   3.38500
  37.98000 -82.40000   5.00000   3.38500
  37.98000 -82.70000   5.00000   3.38500
  37.98000 -83.00000   5.00000   3.38500
  37.98000 -83.30000   5.00000   3.38500
  37.98000 -83.60000   5.00000   3.38500
  37.98000 -83.90000   5.00000   3.38500
  37.98000 -84.20000   5.00000   3.38500
  37.98000 -84.50000   5.00000   3.38500
  37.98000 -84.80000   5.00000   3.38500
  40.28000 -77.00000   5.00000   3.38309
  40.28000 -77.30000   5.00000   3.33880
  40.28000 -77.60000   5.00000   3.30600
  40.28000 -77.90000   5.00000   3.32217
  40.28000 -78.20000   5.00000   3.33755
  40.28000 -78.50000   5.00000   3.35379
  40.28000 -78.80000   5.00000   3.36735
  40.28000 -79.10000   5.00000   3.37550
  40.28000 -79.40000   5.00000   3.37980
  40.28000 -79.70000   5.00000   3.38216
  40.28000 -80.00000   5.00000   3.38351
  40.28000 -80.30000   5.00000   3.38426
  40.28000 -80.60000   5.00000   3.38468
  40.28000 -80.90000   5.00000   3.38490
  40.28000 -81.20000   5.00000   3.38500
  40.28000 -81.50000   5.00000   3.38505
  40.28000 -81.80000   5.00000   3.38506
  40.28000 -82.10000   5.00000   3.38505
  40.28000 -82.40000   5.00000   3.38504
  40.28000 -82.70000   5.00000   3.38502
  40.28000 -83.00000   5.00000   3.38501
  40.28000 -83.30000   5.00000   3.38500
  40.28000 -83.60000   5.00000   3.38500
  40.28000 -83.90000   5.00000   3.38500
  40.28000 -84.20000   5.00000   3.38500
  40.28000 -84.50000   5.00000   3.38500
  40.28000 -84.80000   5.00000   3.38500
  42.58000 -77.00000   5.00000   3.38465
  42.58000 -77.30000   5.00000   3.36254
  42.58000 -77.60000   5.00000   3.32380
  42.58000 -77.90000   5.00000   3.31991
  42.58000 -78.20000   5.00000   3.32869
  42.58000 -78.50000   5.00000   3.32082
  42.58000 -78.80000   5.00000   3.32268
  42.58000 -79.10000   5.00000   3.34007
  42.58000 -79.40000   5.00000   3.36156
  42.58000 -79.70000   5.00000   3.37400
  42.58000 -80.00000   5.00000   3.37950
  42.58000 -80.30000   5.00000   3.38215
  42.58000 -80.60000   5.00000   3.38351
  42.58000 -80.90000   5.00000   3.38428
  42.58000 -81.20000   5.00000   3.38470
  42.58000 -81.50000   5.00000   3.38492
  42.58000 -81.80000   5.00000   3.38503
  42.58000 -82.10000   5.00000   3.38506
  42.58000 -82.40000   5.00000   3.38506
  42.58000 -82.70000   5.00000   3.38504
  42.58000 -83.00000   5.00000   3.38503
  42.58000 -83.30000   5.00000   3.38501
  42.58000 -83.60000   5.00000   3.38500
  42.58000 -83.90000   5.00000   3.38500
  42.58000 -84.20000   5.00000   3.38500
  42.58000 -84.50000   5.00000   3.38500
  42.58000 -84.80000   5.00000   3.38500
  44.88000 -77.00000   5.00000   3.38500
  44.88000 -77.30000   5.00000   3.37852
  44.88000 -77.60000   5.00000   3.35976
  44.88000 -77.90000   5.00000   3.33269
  44.88000 -78.20000   5.00000   3.34867
  44.88000 -78.50000   5.00000   3.36650
